language,product_code,product_name,category,brand,description,short_description,product_price,display_price,unit,weight,quantity,tax,image
EN,ALKS-0001,Ghazwiah Kunafa,Fresh & Local///Homemade Meals///Classic Sweets,Al Aker Sweets,"Description : gazan kunafeh, made the original way",Ghazwiah Kunafa,21.5,21.5,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-AKER/6f0b32612c72b45b3c2955a8255d2a1f.jpg
EN,ALKS-0002,Soft Cheese Kunafah,Fresh & Local///Homemade Meals///Classic Sweets,Al Aker Sweets,Description : the original nabulsi kunafah with cheese,Soft Cheese Kunafah,21.5,21.5,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-AKER/ca445e1c9f586f8325f78a9a539e7bef.png
EN,ALKS-0003,Keshneh Cheese,Fresh & Local///Homemade Meals///Classic Sweets,Al Aker Sweets,Description : the original nabulsi kunafah with cheese,Keshneh Cheese,21.5,21.5,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-AKER/c071ef1f1b83cd0fc6ac07fc5239a574.png
EN,ALKS-0004,Cream Bain Narain,Fresh & Local///Homemade Meals///Classic Sweets,Al Aker Sweets,Description : kunafah between two fires with cream,Cream Bain Narain,21.5,21.5,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-AKER/7a224c72c5c2ab7834e27af29ba89ac6.png
EN,ALKS-0005,Soft Cream Kunafah,Fresh & Local///Homemade Meals///Classic Sweets,Al Aker Sweets,Description : the original nabulsi kunafah with cream,Soft Cream Kunafah,21.5,21.5,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-AKER/d3270808af851d3fdb05355d32ddadd4.png
EN,ALKS-0006,Usmalliah With Cream,Fresh & Local///Homemade Meals///Classic Sweets,Al Aker Sweets,Description : the famous usmallaih kunafa with our special cream,Usmalliah With Cream,21.5,21.5,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-AKER/6c34a1868cf3828d30719997c97b240d.png
EN,ALKS-0007,Cheese Mabroomeh,Fresh & Local///Homemade Meals///Classic Sweets,Al Aker Sweets,Description : kunafah mabromh with cheese,Cheese Mabroomeh,23.5,23.5,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-AKER/d5177eb952388e775ef492680ac155a1.png
EN,ALKS-0008,Cream Mabroomeh,Fresh & Local///Homemade Meals///Classic Sweets,Al Aker Sweets,Description : kunafah mabrouma with cream,Cream Mabroomeh,21.5,21.5,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-AKER/b1f5c10507abd51ef8408446b1fa85f9.png
EN,ALKS-0009,Soft Kunafah Baked,Fresh & Local///Homemade Meals///Classic Sweets,Al Aker Sweets,Description : cheese konafa for ten people in a round tray,Soft Kunafah Baked,184.0,184.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-AKER/00fbe3e4a3a6dfcb808d208a1c10af7c.png
EN,ALKS-0010,Mix Kunafah Baked,Fresh & Local///Homemade Meals///Classic Sweets,Al Aker Sweets,Description : cheese konafa for ten people in a round tray,Mix Kunafah Baked,184.0,184.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-AKER/50b36e0ec14ab5b99ebe7470cdfe7ed8.png
EN,ALKS-0011,Rough Kunafah Baked,Fresh & Local///Homemade Meals///Classic Sweets,Al Aker Sweets,Description : cheese konafa for ten people in a round tray,Rough Kunafah Baked,184.0,184.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-AKER/1320b4a602e5bd334455865a66083e3f.png
EN,ALKS-0012,Kunafa Bain Narien Cream 10 People,Fresh & Local///Homemade Meals///Classic Sweets,Al Aker Sweets,"Description : a tray of kunafa (bain narein) with cream, enough for 8 to 10 persons",Kunafa Bain Narien Cream 10 People,172.0,172.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-AKER/72e7a5cf3e2be1d010ea2633ec046605.png
EN,ALKS-0013,Hareeseh With Pistachio,Fresh & Local///Homemade Meals///Classic Sweets,Al Aker Sweets,Description : our famous harissa dessert topped with pistachios,Hareeseh With Pistachio,21.5,21.5,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-AKER/d8bdc2978e053c0661e5737944ae8c3b.png
EN,ALKS-0014,Fustuqiah With Arabic Cream,Fresh & Local///Homemade Meals///Classic Sweets,Al Aker Sweets,"Description : the famous lebanese dessert, also called daoukieh is a pistachio dough stuffed with fresh local cream with a special flavor",Fustuqiah With Arabic Cream,32.5,32.5,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-AKER/8b9a02bd40b5c107efc396a48d5ede37.png
EN,ALKS-0015,Cream Warbat,Fresh & Local///Homemade Meals///Classic Sweets,Al Aker Sweets,Description : crispy thin dough stuffed with cream,Cream Warbat,17.5,17.5,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-AKER/dba49ea4c83f66e4fb42579ae8678899.png
EN,ALKS-0016,Basbousa,Fresh & Local///Homemade Meals///Classic Sweets,Al Aker Sweets,Description : a middle eastern dessert made with semolina and sweetened with simple syrup,Basbousa,17.5,17.5,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-AKER/ad238fc3dd75243553cac6f529a5f9db.png
EN,ALKS-0017,Turkish Warbat,Fresh & Local///Homemade Meals///Classic Sweets,Al Aker Sweets,Description : warbat dough stuffed with pistachio and cream,Turkish Warbat,21.5,21.5,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-AKER/a44d04f1c875c906f70b36cdc3b221bd.png
