language,product_code,product_name,category,brand,description,short_description,product_price,display_price,unit,weight,quantity,tax,image
en,DICT-0001,Chicken Shawerma,Fresh & Local///Homemade Meals///Main Dish,Diet Center,Tender chicken marinated in shawarma spices is nestled in warm tortilla bread with crisp cucumber and a tangy lemon tarragon dressing,Chicken Shawerma,26.0,26.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-DC/5847dca999a197039908132deeb0940f.png
en,DICT-0002,Bbq Beef Burger,Fresh & Local///Homemade Meals///Main Dish,Diet Center,Juicy beef melted cheese and crisp toppings nestled in a hearty multi-seed bun with a smoky barbecue sauc,Bbq Beef Burger,28.0,28.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-DC/01b63861f1584f328a0e9dd13b5820de.png
en,DICT-0003,Chicken Fajita Sandwich,Fresh & Local///Homemade Meals///Main Dish,Diet Center,"A tasty chicken fajita on ciabatta with grilled veggies, creamy avocado melted cheese and a flavorful mix of spices and sauces",Chicken Fajita Sandwich,19.0,19.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-DC/0053122181405b26920af8143dc1f21e.png
en,DICT-0004,Boules De Chevre Salad,Fresh & Local///Homemade Meals///Main Dish,Diet Center,A vibrant salad of greens sweet peppers and creamy goat cheese dressed with a touch of honey and balsamic and sprinkled with cranberries and walnuts,Boules De Chevre Salad,28.0,28.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-DC/6cf2235d6db448e80be1f11989769025.jpeg
en,DICT-0005,Brown Manakish Cheese,Supermarket///Retail///Bakery,Diet Center,Topped with a rich melty blend of creamy cheese with its perfect balance of salty and savory this golden cheesy treat is a comforting bite of indulgence perfect for any time of day,Brown Manakish Cheese,14.0,14.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-DC/59f2a42d59f8ca472deabeb630bcb887.png
en,DICT-0006,Brown Manakish Zaatar,Supermarket///Retail///Bakery,Diet Center,Warm aromatic flatbread topped with a fragrant blend of thyme sesame seeds sumac and olive oil,Brown Manakish Zaatar,11.0,11.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-DC/9958fadb977976cd0314853e1c75c4cc.png
en,DICT-0007,Manakish Zaater,Supermarket///Retail///Bakery,Diet Center,From simple flour and yogurt a savory bread blooms with thyme sumac and a touch of sweetness,Manakish Zaater,11.0,11.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-DC/9958fadb977976cd0314853e1c75c4cc.png
en,DICT-0008,Brown Mix Manakish Chess Zaatar,Supermarket///Retail///Bakery,Diet Center,A golden soft flatbread topped with a delightful mix of melted cheese and fragrant za’atar and herbs,Brown Mix Manakish Chess Zaatar,13.0,13.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-DC/bca1a80b0ad9cd27b9c7d450e0e37b05.png
en,DICT-0009,Mix Manakish Cheese Zaatar,Supermarket///Retail///Bakery,Diet Center,A golden soft flatbread topped with a delightful mix of melted cheese and fragrant za’atar and herbs,Mix Manakish Cheese Zaatar,13.0,13.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-DC/826921b47a027fdf95d616b74d51b587.png
en,DICT-0010,Croissant Cheese,Supermarket///Retail///Bakery,Diet Center,Flaky croissant dough cradles a trio of melted cheeses mozzarella and halloumi,Croissant Cheese,8.0,8.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-DC/5b18693aa77e6ecf6abbb99ddb420b1c.png
en,DICT-0011,Croissant Zaater,Supermarket///Retail///Bakery,Diet Center,Flaky croissant dough cradles the tangy herbaceous flavors of zaatar,Croissant Zaater,8.0,8.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-DC/a4c18009ca9a16ad90bcc3a2eaedafd8.png
en,DICT-0012,Croissant Plain,Supermarket///Retail///Bakery,Diet Center,Plain crisp and delicious croissant,Croissant Plain,8.0,8.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-DC/63d6eac8554ca6cc1e9e27ad945fff41.png
en,DICT-0013,Almond & Sesame,Supermarket///Retail///Breakfast & Snacks,Diet Center,"Almond & sesame vegan protein bites - low in calories, high in natural protein with no sugar added- 149 calories",Almond & Sesame,10.0,10.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-DC/1b2e1ccc527cb8c8692d904d49f9324d.jpg
en,DICT-0014,Chocolate,Supermarket///Retail///Breakfast & Snacks,Diet Center,"Chocolate nut-free vegan bites - low in calories, nut free and no sugar added - 129 calories.",Chocolate,10.0,10.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-DC/1abbe04e0aa4c65e9f1f0d9a3236fcf9.jpg
