language,product_code,product_name,category,brand,description,short_description,product_price,display_price,unit,weight,quantity,tax,image
en,113446,Balloon Shape Pre-Inflated Emoji with Stick,Supermarket///Retail///Household Products,,Pre-inflated emoji balloon with stick  fun and ready for any celebration.,,10.0,10.00,PC,1,8,0.0,https://images.todoorstep.com/product/100156804/Ar.jpg?t=1744675200
en,114145,ROYAL FORD Royal Ford Round Springform Set 3pcs,Supermarket///Retail///Household Products,ROYAL FORD,Royalford 3pcs round springform set  perfect for baking cakes with easy release.,,60.0,60.00,PC,1,8,0.0,https://images.todoorstep.com/product/100156107/Ar.jpg?t=1744675200
en,114151,ROYAL FORD Royal Ford Non-Stick Wok Pan 26cm,Supermarket///Retail///Household Products,ROYAL FORD,Royalford 26cm non-stick wok pan  versatile and convenient for all kitchen needs.,,39.96,39.96,PC,1,8,0.0,https://images.todoorstep.com/product/100156115/Ar.jpg?t=1744675200
en,114152,ROYAL FORD Royal Ford Non-Stick Wok Pan 30cm,Supermarket///Retail///Household Products,ROYAL FORD,Royalford 30cm non-stick wok pan  spacious and ideal for stir-frying and daily use.,,55.96,55.96,PC,1,8,0.0,https://images.todoorstep.com/product/100156117/Ar.jpg?t=1744675200
en,114154,ROYAL FORD Royal Ford Fry Pan with Lid 24cm,Supermarket///Retail///Household Products,ROYAL FORD,Royalford 24cm fry pan with lid  durable and practical for everyday cooking.,,39.96,39.96,PC,1,8,0.0,https://images.todoorstep.com/product/100156121/Ar.jpg?t=1744675200
en,114385,ROYAL FORD Royal Ford Stainless Steel Vacuum Bottle 450ml,Supermarket///Retail///Household Products,ROYAL FORD,Royalford 450ml stainless steel vacuum bottle  keeps drinks hot or cold for long hours.,,45.5,45.50,PC,1,8,0.0,https://images.todoorstep.com/product/100156197/Ar.jpg?t=1744675200
en,114386,"ROYAL FORD Royal Ford Stainless Steel Oval Lunch Box 1 Piece

",Supermarket///Retail///Household Products,ROYAL FORD,Keep your meals fresh with the durable Royal Ford stainless steel oval lunch box. Lightweight  easy to carry  and perfect for school  work  or travel.  ,,26.0,26.00,PC,1,8,0.0,https://images.todoorstep.com/product/100156201/Ar.jpg?t=1744675200
en,114545,ROYAL FORD Royal Ford Cleaver Knife 6'',Supermarket///Retail///Household Products,ROYAL FORD,Royal Ford 6-inch cleaver knife  strong and durable for cutting meat and tough ingredients.,,25.0,25.00,PC,1,8,0.0,https://images.todoorstep.com/product/100156147/Ar.jpg?t=1744675200
en,114546,ROYAL FORD Royal Ford Chef Knife 8'',Supermarket///Retail///Household Products,ROYAL FORD,Royal Ford 8-inch chef knife  versatile and sharp for all cooking needs.,,25.0,25.00,PC,1,8,0.0,https://images.todoorstep.com/product/100156150/Ar.jpg?t=1744675200
en,114548,ROYAL FORD Royal Ford Utility Knife 5'',Supermarket///Retail///Household Products,ROYAL FORD,Royal Ford 5-inch utility knife  sharp and practical for everyday kitchen use.,,17.25,17.25,PC,1,8,0.0,https://images.todoorstep.com/product/100156155/Ar.jpg?t=1744675200
