language,product_code,product_name,category,brand,description,short_description,product_price,display_price,unit,weight,quantity,tax,image
en,LAVI-0001,Coconut Bites   Small,Fresh & Local///Homemade Meals///Classic Sweets,Laviviane,9 pcs,Coconut Bites   Small,53.0,53.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-LAVIVI/4d47cf0d2565fd0c032643d61c9b6e95.jpg
en,LAVI-0002,Date Tart Sweet,Fresh & Local///Homemade Meals///Classic Sweets,Laviviane,"A tart filled with premium dates and crunchy almonds, inspired by our rich saudi heritage calories per (100g)",Date Tart Sweet,87.0,87.0,g,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-LAVIVI/134b2c78b1c072e76a770a4af127baf2.jpg
en,LAVI-0003,Mango Cream Brulée Cake,Fresh & Local///Homemade Meals///Classic Sweets,Laviviane,"Mango cake layered with creme brulee, topped with crunchy almonds, red cherries and fresh mango pieces",Mango Cream Brulée Cake,265.0,265.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-LAVIVI/d89cc6aa021edf10ec9a60025df8f7c9.jpg
en,LAVI-0004,Honey Cake Box,Fresh & Local///Homemade Meals///Classic Sweets,Laviviane,18 pcs calories per (100g),Honey Cake Box,125.0,125.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-LAVIVI/a1441da96fe93f0953647a1e45e8a7ed.png
en,LAVI-0005,Fig Round Tray 26 Cm,Fresh & Local///Fruits from farms///Dates,Laviviane,Figs are part of saudi heritage authenticity and cultural tradition an emblem of local hospitality carrying the values of appreciation and honouring guests the product is healthy free of oils dairy derivatives flour biscuits or anything similar,Fig Round Tray 26 Cm,240.0,240.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-LAVIVI/6712a45148ca2999f1a1381d7aefa51d.jpg
en,LAVI-0006,Mix Date Pecan And Fig Pecan – Large,Fresh & Local///Fruits from farms///Dates,Laviviane,Dates and figs are part of saudi heritage authenticity and cultural tradition an emblem of local hospitality carrying the values of appreciation and honouring guests the product is healthy and free of oils dairy derivatives flour biscuits or any similar ingredients,Mix Date Pecan And Fig Pecan – Large,260.0,260.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-LAVIVI/dd300941b65928dabd79fdeef8cc00d2.jpg
en,LAVI-0007,Fig Pecan – Small,Fresh & Local///Fruits from farms///Dates,Laviviane,Figs are part of saudi heritage authenticity and cultural tradition an emblem of local hospitality carrying the values of appreciation and honouring guests the product is healthy free of oils dairy derivatives flour biscuits or anything similar,Fig Pecan – Small,50.0,50.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-LAVIVI/c4e1f54fc07bf1dfcdb71c1faa752aa9.jpg
en,LAVI-0008,Date Pecan – Small,Fresh & Local///Fruits from farms///Dates,Laviviane,Dates are an integral part of saudi heritage authenticity and cultural tradition an emblem of local hospitality carrying the values of appreciation and honouring guests the product is healthy and free of oils dairy derivatives flour biscuits or any similar ingredients,Date Pecan – Small,60.0,60.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-LAVIVI/a3f15e4a09898eb8f7445c9547b42207.jpg
en,LAVI-0009,Date Pecan Jar,Fresh & Local///Fruits from farms///Dates,Laviviane,Dates are an integral part of saudi heritage authenticity and cultural tradition an emblem of local hospitality carrying the values of appreciation and honouring guests the product is healthy and free of oils dairy derivatives flour biscuits or any similar ingredients,Date Pecan Jar,75.0,75.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-LAVIVI/0b389b3fbc88dabbcf174fea4b764a7e.jpg
en,LAVI-0010,Red Velvet Volcano Cake Small,Supermarket///Retail///Bakery,Laviviane,A birthday gift from laviviane with a message on a chocolate board and a candle.,Red Velvet Volcano Cake Small,71.0,71.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-LAVIVI/1fc1bb2abaf83529ee9baca0924905fc.jpg
en,LAVI-0011,Slider Cake Box 4 Pcs Cake Small,Supermarket///Retail///Bakery,Laviviane,"4 pcs small from (lemon cake, red velvet, nutella cake, nutella pistachio cake) a birthday gift from laviviane with a message on a chocolate board and a candle",Slider Cake Box 4 Pcs Cake Small,193.0,193.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-LAVIVI/6e52697948d1973d804e37ef3cf127ad.jpg
en,LAVI-0012,Lemon Cake Small,Supermarket///Retail///Bakery,Laviviane,A birthday gift from laviviane with a message on a chocolate board and a candle calories per (100g),Lemon Cake Small,54.0,54.0,g,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-LAVIVI/aba461fd9bac80e816bd4c613df50d63.jpg
en,LAVI-0013,Mixed Bites Cake 4 Types Tray,Supermarket///Retail///Bakery,Laviviane,"56 pcs: 4 types of chocolate mousse, oqiali, tiramisu, dates. a birthday gift from laviviane with a message on a chocolate board and a candle",Mixed Bites Cake 4 Types Tray,320.0,320.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-LAVIVI/bca35c13cb533cc83343012db5b070ed.jpeg
en,LAVI-0014,Cream Brullee Cheese Cake Bites Large,Supermarket///Retail///Bakery,Laviviane,27 pcs,Cream Brullee Cheese Cake Bites Large,145.0,145.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-LAVIVI/ac9bdd865468e55500454988c40890ff.jpg
en,LAVI-0015,Cream Brulle Cheese Cake Bites Small,Supermarket///Retail///Bakery,Laviviane,9 pcs,Cream Brulle Cheese Cake Bites Small,48.0,48.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-LAVIVI/90d9262f421bb2a50ee7902aa32d83c2.jpg
en,LAVI-0016,Dates Cake Bites Large,Supermarket///Retail///Bakery,Laviviane,24 pcs,Dates Cake Bites Large,145.0,145.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-LAVIVI/85a26bfde8ef2176fcaf6bfeec6973fb
en,LAVI-0017,Dates Cake Bites Small,Supermarket///Retail///Bakery,Laviviane,9 pcs,Dates Cake Bites Small,48.0,48.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-LAVIVI/dea7ae4a4a8bd023ba3afc0e801215d5.jpg
en,LAVI-0018,Lemon Cake Bites Large,Supermarket///Retail///Bakery,Laviviane,24 pcs,Lemon Cake Bites Large,145.0,145.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-LAVIVI/0d6079b5519bfb1724b459b8f597ddc5.jpg
en,LAVI-0019,Lemon Bites Small,Supermarket///Retail///Bakery,Laviviane,9 pcs,Lemon Bites Small,48.0,48.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-LAVIVI/a1389e38d98014d2dbf8aa7990f8ea64.jpg
en,LAVI-0020,Chocolate Mousse Cake Bites Large,Supermarket///Retail///Bakery,Laviviane,24 pcs,Chocolate Mousse Cake Bites Large,145.0,145.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-LAVIVI/d610f057b29c630e18b91707660b51b4.jpg
