language,product_code,product_name,category,brand,description,short_description,product_price,display_price,unit,weight,quantity,tax,image
en,SAAD-0001,Package 1,Supermarket///Retail///Bakery,Saadeddin pastry,Chocolate cake with hazelnut crunch + macaron box,Package 1,195.35,195.35,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/SH-SP/f9a58c6992b93d1ea219baa3492b3501.jpeg
en,SAAD-0002,Package 2,Supermarket///Retail///Bakery,Saadeddin pastry,Vanilla cake with red berries + mini muffin,Package 2,233.6,233.6,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/SH-SP/a58380a8b11b2d7299bf9e64bb291b5f.jpeg
en,SAAD-0003,Package 3,Supermarket///Retail///Bakery,Saadeddin pastry,Vanilla cake with red berries + macaron box,Package 3,229.3,229.3,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/SH-SP/300ab7a9a44597ed8f971788c0b403dd.jpeg
en,SAAD-0004,Chocolate Cake With Hazelnut Crunchy,Supermarket///Retail///Bakery,Saadeddin pastry,Chocolate sponge praline crunchy hazelnut mousse hazelnut croquant milk chocolate serves 6–8,Chocolate Cake With Hazelnut Crunchy,159.92,159.92,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/SH-SP/c583014b715c13b81c9ba7ef930edaf1.jpg
en,SAAD-0005,Vanilla Cake With Red Berries,Supermarket///Retail///Bakery,Saadeddin pastry,Vanilla sponge red berry filling vanilla mousse almond crumble with mini vanilla sauce serves 6–8,Vanilla Cake With Red Berries,199.9,199.9,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/SH-SP/d893e17c076d18a70373560a112b797e.png
en,SAAD-0006,Macaron Box,Supermarket///Retail///Bakery,Saadeddin pastry,Chocolate macarons vanilla macarons 16 pieces,Macaron Box,69.9,69.9,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/SH-SP/8f258caac0576678b667e771db024de5.png
en,SAAD-0007,Mini Muffin Box,Supermarket///Retail///Bakery,Saadeddin pastry,Mini vanilla muffins mini chocolate muffins 16 pieces,Mini Muffin Box,74.9,74.9,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/SH-SP/57362f0714aa45569f8bf8d94b5b8f52.png
en,SAAD-0008,Glass Maamoul Plate,Supermarket///Retail///Bakery,Saadeddin pastry,Maamoul with date filling,Glass Maamoul Plate,169.9,169.9,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/SH-SP/4430dbd2c226d1e8242b36ed3eda5659.jpg
en,SAAD-0009,Glass Baklava Plate,Supermarket///Retail///Bakery,Saadeddin pastry,Assorted baklava,Glass Baklava Plate,199.9,199.9,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/SH-SP/35e351951a3bc1cf47f3a9695e78c68e.jpg
en,SAAD-0010,Granny Maamoul Per Kilo,Fresh & Local///Homemade Meals///Classic Sweets,Saadeddin pastry,Flour and semolina mixture + anise + fennel + mahlab + date filling,Granny Maamoul Per Kilo,74.9,74.9,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/SH-SP/f5da5d158e7d69f406cb244f0ff385e2.png
en,SAAD-0011,Baklawa Assorted Tin Mini,Fresh & Local///Homemade Meals///Classic Sweets,Saadeddin pastry,The finest types of baklava prepared with the finest types of cow's ghee in a tin can with the air removed to remain fresh when opened by weight.,Baklawa Assorted Tin Mini,44.9,44.9,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/SH-SP/320af68c73e99d5d9cf549547858321c.png
